MED_DIRECTIONS,FREQUENCY
(Reglan) 1 tablet by mouth three times a day,57
150mg one tablet twice a day,57
1000mg 1 tab. by mouth twice daily,57
650mg orally every 6 hours as needed,57
400mg po PRN pain,57
300 mg orally every 6 hours as needed for pain,57
37.5mg 1 by mouth daily,57
12.5mg orally every 4 hours as needed,57
350mg 1 tab po TID,57
500mg 1 by mouth bid,57
(Also Known As Zofran ODT) 0.25 tablet on the tongue every 8 hours for 2 days as needed for vomiting,57
800mg by mouth 3xdaily,57
0.5 tablet by mouth every morning then 1 tablet by mouth every evening,57
75mg tab po daily,57
1 capsule by mouth every 6 hours as needed for itching,57
25mg by mouth daily in am,57
3 tablets daily by mouth,57
50 mg one po daily,57
0.5 MG orally every 12 hours,57
(Also Known As Norco) 1-2 tablets by mouth every four or six hours for 30 day(s) as needed for pain,57
1 capsule from the inhaler twice a day,57
Take as instructed per package insert.,57
(Also Known As Neurontin) 1 capsule by mouth every 12 hours for 14 days,57
1  tab by mouth daily,57
(Also Known As Gleevec) 1 tablet by mouth daily,57
25 MG in tube every 6 hours as needed,57
75mg by mouth 2xdaily ,57
1 tablet by mouth bid with food,57
400 MG orally at bedtime,57
"50,000 IU One capsule by mouth weekly",57
0.2 mg by mouth daily,57
1 unit using a nebulizer every 4 hours as needed for cough or wheeze,57
for pain as needed,57
"50 mg tablet,extended release 1 tablet by mouth daily",57
Inject  under the skin.,57
100 mg one tab po daily,57
(Also Known As DDAVP) 3 tablets by mouth every evening at bedtime as needed for bedwetting,57
30mg one tab by mouth twice daily,57
5/325mg 1 tab by mouth as needed,57
one drop in both eyes PRN,57
50 mg tablet (Also Known As Lopressor) 1 tablet by mouth daily,57
 as directed as needed,57
1 tablet by mouth every 8 hours for 14 days as needed for itching,57
1 capsule by mouth every 8 hours for 7 days as needed for pain,57
81 mg by mouth 1 tablet once daily,57
(Also Known As Zofran ODT) 1-2 tablets by mouth every 6 hours as needed for nausea,57
50mg 1 tab po qhs,57
1-2 tab by mouth daily,57
Probiotic 1 tablet by mouth daily,57
30 mg orally every 6 hours,57
1 tablet by mouth every 8 hours for 10 day(s),57
"2 tablets by mouth twice a day as needed for cough, congestion",57
(Also Known As Flexeril) 1 tablet by mouth every 8 hours for 7 days as needed for muscle spasms,57
10/40mg po daily,57
40 mg tablet once a day,57
(Also Known As Antivert) 1 tablet by mouth twice a day,57
2mg one tablet twice daily,57
0.5mg 1 tab as needed,57
1 tablet by mouth three times a day as needed for joint pains,57
(Also Known As Phenytek) 1 capsule by mouth daily for 7 days,57
10 mg take one by mouth daily as needed,57
1 tablet by mouth three times a day for 10 days as needed for anxiety,57
(Also Known As Phenytek) 1 capsule by mouth daily for 6 days,57
Check blood sugar 3 times daily,57
"1,000mg po daily",57
600mg twice daily as needed,57
1 drop in eyes as directed every 2 hours,57
15 mg orally every twelve hours  for 3 days,57
60 mg 1 capsule by mouth once daily ,57
4 strips miscellaneous daily as needed for E11.9,57
5 mg orally every 4 hours as needed  for 3 days prn for pain score 3-6; may repeat x 1 if pain score 3 or greater one hour after administration.,57
20 mg tablet by mouth two times daily,57
Use to check blood sugar daily,57
one three times daily,57
(Lasix) 1 tablet by mouth daily as needed for edema,57
one cap by mouth once a day,57
(Also Known As Dilaudid) 1 tablet by mouth every 4 hours,57
1 tablet 3 times a day,57
2000 international units daily by mouth,57
(Also Known As Ativan) 1 tablet by mouth twice a day for 14 days as needed for anxiety,57
1 TABLET DAILY FOR ALLERGIES,57
1 vaginal insert into the vagina as directed every month,57
250 mg one tablet by mouth twice daily,57
8 mg every 8 hours as needed for until discontinued,57
(Also Known As Ilotycin) 1 centimeters in the left eye three times a day for 7 days,57
5mg take one tablet twice a day,57
0.25mg by mouth once daily,57
Take 500 mcg by mouth Daily.,57
(Also Known As Aricept) 1.5 tablets by mouth daily,57
400mg  1 tab by mouth once daily,57
(Also Known As Pyridium) 1 tablet by mouth tid prn for 2 day(s) as needed for urinary burning,57
Apply to affected area 3 times daily,57
(Also Known As Zoloft) 2.5 tablets by mouth daily,57
40 mg by mouth once daily as needed,57
take 2 tablets by oral route 2 times per day in the morning and evening,57
Take 325 mg by mouth one (1) time a day,57
1 tablet by mouth every 6 hours for 5 day(s) as needed for fever,57
1mg one tablet by mouth once daily,57
? dose 1 tab po daily,57
1 tablet by mouth every evening at bedtime for 14 days as needed,57
checks blood glucose daily E11.9,57
(Also Known As Cleocin HCl) 1 capsule by mouth three times a day for 5 days,57
(Also Known As Mevacor) 2 tablets by mouth every evening at bedtime,57
5000 IU one capsule by mouth daily,57
for Diabetic use; disp insurer preferred brand,57
1 tablet by mouth daily at 6pm,57
2 puffs every morning,57
5mg by mouth once daily as needed,57
300 mg one tablet daily by mouth,57
10 ML every 4 hours as needed for until discontinued,57
3 capsules by mouth every evening for 7 days,57
every other day as needed,57
take tablets by mouth daily as directed,57
4200mg by mouth daily,57
20 units at night,57
(Also Known As Timoptic-XE) 1 drop in both eyes every morning,57
"15mg, 1 tablet by mouth daily",57
"2,000 international units one by mouth daily",57
50 mcg tablet daily,57
(Also Known As Zithromax) 2 milliliters (80 mg) by mouth daily for 4 days,57
1 tablet by mouth three times a day as needed for urinary tract irritation,57
150 mg take one tablet twice a day,57
Take 0.5 tablets by mouth daily,57
500 mg tablet (Also Known As Valtrex) 1 tablet by mouth twice a day as needed,57
"80mg orally once daily, in the morning",57
0.05mg 1 po daily,57
650mg orally q6hrs as needed pain,57
100 mg 2 tablets by mouth twice daily ,57
150 mg 2 x daily,57
0.25 mg one by mouth at bedtime,57
10 milliliters (352 mg) by mouth every evening at bedtime for 3 day(s),57
0.8 milligrams subcutaneously daily,57
25 mg one tab twice daily,57
1 suppository into the rectum as directed daily for 5 days as needed for constipation,57
25 mg po q6h prn,57
5mg tablet one tablet by mouth every day,57
0.5mg  1 tab by mouth daily,57
2 tablets by mouth 2 times daily,57
0.5mg one tab by mouth twice daily,57
0.4mg  by mouth daily,57
4 MG orally every 8 hours as needed for nausea,57
25mg 1 tab at bedtime,57
240 mg once daily by mouth,57
100 mg tablet 1 tablet by mouth twice a day as needed for constipation,57
10 MG tab orally as needed,57
apply a thin layer to the affected area(s) by topical route 2 times per day x 7 days,56
5 milliliters (125 mg) by mouth twice a day,56
"take 1 tablet (50 mg) by oral route after onset of migraine; may repeat after 2 hours if headache returns, not to exceed 200mg in 24hrs",56
300mg capsule by mouth twice daily,56
20mg 1 tab daily oral,56
as needed for pain po,56
two tablets twice a day,56
(Also Known As Minipress) 1 capsule by mouth daily,56
3 tablets by mouth daily for 7 day(s),56
1 tablet by mouth three times a day for 7 days as needed for bladder pain,56
10/12.5 mg one by mouth daily,56
(Also Known As Xanax) 1 tablet by mouth four times a day as needed for anxiety,56
20mg one tab at bedtime,56
(Also Known As Ultram) 1 tablet by mouth daily as needed,56
"10mg tablets, Take one tablet by mouth daily",56
sterapred 5mg dose pack. 6 day taper. take as directed,56
1 puffs from the inhaler twice a day for 30 day(s),56
"10,000 mcg by mouth daily",56
(Also Known As Flonase) 2 sprays in each nostril daily for 3 months,56
"Evaluate and treat, LSVT-Loud",56
Inhale 2 puffs 2 (two) times a day. Rinse mouth with water after use to reduce aftertaste and incidence of candidiasis. Do not swallow.,56
30mg by mouth 3 times daily,56
(Also Known As Keppra) 1 tablet by mouth every morning and 2 tablets by mouth every evening,56
"10 mg, 1 tab daily",56
81mg one tab by mouth  daily,56
5 ML swish and swallow every 12 hours,56
500mg take 1 tablet twice daily,56
(Also Known As Diflucan) 2 tablets by mouth every week,56
3.125mg one tablet twice daily,56
200mg 1 tablet by mouth once a day,56
take two by mouth daily,56
(Also Known As ZOFRAN ODT) 0.5 tablet by mouth every 8 hours for 2 days as needed for vomiting,56
(Also Known As Augmentin ES-600) 4 milliliters by mouth twice a day for 10 day(s),56
150mg Take one tablet by mouth daily,56
2 tablets by mouth three times a day for 45 days,56
500 mg (2 tabs) by mouth twice daily,56
100 MG in tube every 12 hours,56
1200mg tablet by mouth daily,56
0.25 mg by mouth daily as needed,56
75mg one tablet by mouth once a day,56
every night at bedtime,56
2 capsules by mouth every 12 hours for 14 days,56
Take 1 capsule by mouth every morning before breakfast.,56
10 mg 1 time daily,56
"5 mg at 06:00, daily for until discontinued",56
(Also Known As Tambocor) 1 tablet by mouth every 12 hours,56
50mg Take one tablet at bedtime,56
1 applicatorful injection at the first sign of symptoms for one time only as needed for severe food allergies,56
(Also Known As OxyContin) 1 tablet by mouth every 8 hours for 14 days,56
1 syringe injection daily,56
250mg 1 tablet by mouth once daily,56
(Also Known As Lomotil) 2 tablets by mouth three times a day as needed for diarrhea,56
1 drop in eyes as directed twice a day as needed for itchy eyes,56
use to test blood sugar 2 times per day,56
5mg by mouth once daily at bedtime,56
0.5 mg tablet by mouth as needed,56
50mg take 1 by mouth daily,56
(Also Known As Zanaflex) 1 capsule by mouth every 8 hours as needed for muscle spasms,56
0.075 mg 1 tablet by mouth daily,56
25 mg  by mouth daily,56
6 mg one tablet by mouth daily,56
5% patch as needed,56
one injection every three months,56
600 mg one by mouth three times a day,56
60mg 2 tabs by mouth daily,56
(Also Known As Neurontin) 2 capsules by mouth every evening at bedtime for 30 day(s),56
100mg 1 tablet by mouth 3 times daily,56
IV infusion every 8 weeks,56
137mcg 1 po daily,56
(Also Known As Neurontin) 1 capsule by mouth three times a day for 5 days,56
800MG (Oral Tablet) PO BID,56
1 injection once a month,56
50 mcg/actuation nasal spray 2 sprays in each nostril daily,56
15 milliliters swish and spit or swallow every 4 hours as needed for pain,56
50mg by mouth  daily,56
40mg take 1 daily,56
injection twice a month,56
orally three times daily ,56
use to inject insulin daily,56
use to inject insulin subcutaneously four times daily as directed (100's),56
1 tablet by mouth twice a day for 30 days,56
50 mg orally every 24 hours at 10:00,56
1000 units by mouth  daily,56
Apply thin layer to face daily,56
Use as directed to inject Norditropin.,56
one tab by mouth ,56
(Also Known As Zovirax) 1 tablet by mouth three times a day as needed,56
once  a day by mouth,56
(Bactrim DS) 1 tablet by mouth twice a day for 10 days,56
Use as directed to test blood sugar twice daily.,56
60mg 1 tab twice daily,56
"10,000 mcg 1 tablet by mouth daily",56
20 mg one tablet orally daily,56
10mg one tablet once a day,56
2 puffs from the inhaler at the first sign of symptoms as needed for wheezing,56
81 mg 1 tablet by mouth once a day,56
5 - 10 milliliters by mouth q4h - 6h as needed for cough,56
"500 mg, Take 1 tablet by mouth twice daily",56
5 mg by mouth three times daily as needed,56
1.5 milliliters by mouth daily,56
apply to the affected area(s) by topical route 3-4 times daily,56
take 1 capsule (40 mg) by oral route once daily before a meal,56
(Toprol XL) 1 tablet by mouth twice a day,56
30mg 1 tablet by mouth three times daily,56
20mg 1 tab as needed,56
(Also Known As Tofranil) 1 tablet by mouth daily,56
take 1 tablet (850 mg) by oral route 2 times per day with morning and evening meals,56
(Also Known As Plavix) 1 tablet by mouth daily for 6 months,56
81mg one tablet by mouth a day,56
100 mg tablet 1 tablet by mouth daily as needed,56
(Also Known As Dilaudid) 1-2 tablets by mouth every 4 hours as needed for pain,56
100mg take one tablet at bedtime,56
35 units twice daily,56
800 IU by mouth daily,56
(Also Known As Prelone) 5 milliliters (15 mg) by mouth daily for 5 days,56
1-2 tablets by mouth every 8 hours for 3 days as needed for pain,56
1 po three times daily,56
20mg take once a day,56
8 milliliters (120 mg) by mouth three times a day for 7 days,56
1 pen needle miscellaneous 5 times daily,56
40mg takes one tablet by mouth daily,56
0.5mg 1 tab at bedtime,56
(Also Known As Polytrim) 1 drop in eyes as directed twice a day for 7 days,56
"10 mg at 10:00, daily for until discontinued",56
2.5 milliliters by mouth every evening at bedtime,56
(Also Known As Sulfatrim) 15 milliliters by mouth twice a day for 7 days,56
apply to affected area as needed.,56
500 mg 1 twice daily,56
5mg 1 tab orally twice daily,56
(Also Known As Zofran) 1 tablet by mouth every 8 hours for 5 days,56
50 mg Tab 1 tablet by mouth daily,56
3 tablets by mouth daily for 2 days then 2 tablets by mouth daily for 2 days then 1 tablet by mouth daily for 2 days,56
(Also Known As Mobic) 1 tablet by mouth daily for 6 weeks,56
(Also Known As Isopto Atropine) 1 drop in the left eye twice a day,56
1000 mcg IM once a month,56
"1 tablet orally at bedtime, as needed",56
250mg by mouth once a day,56
1 drop in eyes as directed every 6 hours,56
(Also Known As Wellbutrin SR) 1 tablet by mouth twice a day for 30 day(s),56
10 mg by mouth daily at night,56
take one tab by mouth as needed,56
1000iu 2 tablets by mouth daily,56
10 mg once at night,56
0.5mg 1 tab by mouth three times daily,56
750 mg one tablet by mouth twice daily ,56
175 mcg orally daily,56
37.5/25mg orally daily,56
100MG (Oral Tablet) PO QHS / HS,56
45mg daily by mouth,56
cream use as directed,56
100mg PO nightly,56
2 puffs from the inhaler bid-tid as needed,56
25mg 1 tablet by mouth daily at bedtime,56
30 mg by mouth every day ,56
once every night,56
30mg one tablet by mouth at bedtime,56
5mg. daily tab by mouth,56
(Also Known As Tobrex) 1 drop in the left eye q4h while awake for 7 days,56
20 mg Take one tablet by mouth once daily,56
7.5MG BY MOUTH Three times DAILY,56
2 puffs inhaled four times daily,56
(Also Known As Lescol) 1 capsule by mouth every evening,56
150mg twice a day by mouth,56
2 tablets by mouth twice a week,56
Use every 3 days when changing insulin pump catheter,56
(Also Known As Depakene) 2 capsules by mouth twice a day,56
2 puffs from the inhaler at the first sign of symptoms as needed for shortness of breath,56
1200 mg 1 by mouth daily,56
100 mcg tablet daily,56
750mg one tablet by mouth daily,56
500mg tablet by mouth as needed,56
(Also Known As Malarone) 1 tablet by mouth daily for 27 day(s),56
40mg 1 tab by mouth once a day,56
10 milliliters by mouth every 6 hours for 3 days as needed for cough,56
0.6mg 1 tab by mouth daily ,56
0.3 milligrams subcutaneously every other day,56
10mg take one by mouth twice daily,56
81 mg tablet take one tablet by mouth once daily,56
2tablets oral daily,56
apply a small amount to the affected area by topical route daily,56
1mg 1 tab twice daily,56
15 mg take one tablet daily,56
6 milliliters (300 mg) by mouth every 8 hours for 7 days,56
6 mg by mouth daily,56
(Also Known As Levaquin) 1 tablet by mouth every other day,56
50mg take one tablet by mouth once daily,56
150 mg once a month,56
 100 mg by mouth daily,56
200mg  one tablet by mouth daily,56
(Lortab) 2 tablets by mouth every 6 hours as needed for pain,56
10mg by mouth  as needed,56
take 1 tablet (20 mg) by oral route 2 times per day at least 1 hour before or 2 hours after meals,56
1mg orally three times daily,56
0.88mg by mouth daily,56
100 mg by mouth as directed,56
300 mg by mouth daily at bedtime,56
(Also Known As Naprosyn) 1 tablet by mouth twice a day for 15 days as needed,56
"6 mg orally once daily, at bedtime, as needed",56
1 (one) tablet by mouth daily,56
(Also Known As Macrodantin) 1 capsule by mouth every 12 hours for 7 days,56
(Also Known As Bentyl) 1 capsule by mouth every 6 hours as needed,56
"XL 300 mg 24 hr tablet, extended release (Also Known As Wellbutrin XL) 1 tablet by mouth daily",56
10 mg one tablet PO daily,56
(Cardura) 1 tablet by mouth daily,56
15 units twice daily,56
4 drops L ear twice a day for 7 days,56
(Also Known As Aricept) 2 tablets by mouth every evening at bedtime,56
325mg as needed by mouth,56
500mg 2 tab twice daily,56
10mg 1 tab as needed by mouth,56
125 mcg tablet by mouth daily,56
(Also Known As Zanaflex) 1 tablet by mouth daily,56
5 mg 1 tablet daily by mouth,56
20 mg tablet (Also Known As Lasix) 1 tablet by mouth as needed,56
(Also Known As Topamax) 2 capsules by mouth every evening at bedtime,56
40mg 1 time daily,56
1 tablet by mouth every 8 hours for 4 days as needed for bladder spasm,56
20 mg tablet 1/2 tablet by mouth daily,56
pt. states no longer takes,56
4 milliliters by mouth every 6 hours as needed for pain,56
10mg 1 by mouth once daily,56
(Also Known As Zofran (as hydrochloride)) 1-2 tablets by mouth q6-8h as needed for nausea,56
40 mg by mouth daily @ bedtime,56
"50 mcg/actuation nasal spray,suspension (Also Known As Flonase) 2 sprays in each nostril daily prn",56
6 tablets by mouth twice a day,56
50mg 1 tab orally at bedtime,56
20 mg 1 by mouth twice daily,56
81 mg take by mouth once daily,56
"Take 1 capsule by mouth daily for once week, then 2 capsules by mouth daily",56
1-2 tabs by mouth as needed for pain,56
(Also Known As Nitrolingual) 1 spray on the tongue at the first sign of symptoms as needed for chest pain,56
Use to test blood glucose twice daily,56
320/12.5mg by mouth daily,56
(Also Known As Depakote) 1 tablet by mouth every morning and 2 tablets by mouth every evening at bedtime,56
40 mg one by mouth daily as needed,56
50mg four times daily,56
(Also Known As Amaryl) 1 tablet by mouth with breakfast and 1 tablet by mouth with dinner,56
10/12.5mg once daily,56
1 mg 1 tablet by mouth twice a day,56
1 tablet by mouth three times a day for 4 day(s),56
nasal spray use as directed as needed,56
0.4mg 1 tablet sublingual as needed,56
0.2 mg IV every 8 hours as needed,56
325 MG PO every day,56
1 tablet by mouth  twice daily,56
1 capsule by mouth every week for 3 weeks,56
1 puff by mouth 4 times daily as needed,56
88mg by mouth daily,56
100MG (Oral Tablet) Oral QD,56
5mg one tablet by mouth every day,56
21 units subcutaneously daily,56
4 puffs from the inhaler q4h prn as needed for wheezing,56
3mg once at bedtime,56
10mg 1 tablet by mouth 3 times a day as needed,56
(Also Known As Prometrium) 2 capsules by mouth every evening for 10 days,56
Use as directed three times a day,56
Use to inject insulin 5 times daily as directed.,56
600 mg i po twice a day,56
1 tab 3 times daily,56
100 mcg 1 tablet daily,56
3 drops in each affected ear three times a day for 3 days as needed for pain,56
"0.3 %-0.1 % ear drops,suspension 4 drops in each affected ear twice a day for 7 days as needed",56
17 grams once daily,56
80/12.5 mg by mouth daily,56
one a day as needed,56
300mg by mouth 2xdaily,56
5mg one tablet once daily,56
15 units subq at bedtime,56
5 mg as needed for pain,56
Speech/Voice therapy evaluation and treatment.,56
100mg one tablet once daily,56
1mg orally as needed,56
Take by mouth once a day,56
800mg daily as needed,56
20 mg by mouth daily a.m.,56
20mg. 1 tablet by mouth daily,56
2 gummies by mouth every day,56
20 mg  Take one tablet by mouth once daily,56
40 mg 1 tablet once a day,56
600 mg tablet 1 tablet by mouth every 6 hours as needed,56
(Also Known As Diflucan) 1 tablet by mouth every three days for 9 day(s),56
1 - 2 tablets by mouth every evening at bedtime as needed for muscle spasms,56
500mg every 12 hours,56
Please clean skin area prior to each insulin injection,56
7.5 mg 1 tablet by mouth as needed,55
5mg take 1 tablet by mouth at bedtime,55
instill 1 drop into affected eye(s) by ophthalmic route every 2 hours while awake for 2 days then 1 drop every 4 hours while awake for 5 days,55
17 g ( 1 capful) by mouth 1 time a day,55
apply a thin film to the affected skin areas,55
25 mg 1 tablet by mouth three times daily as needed,55
instill 1/2 vial into each nostril twice daily. See Attached.,55
2 tabs po as needed,55
1400mg once daily,55
"1,000 mg po q day",55
45mg by mouth at bedtime,55
20mg 1 tab. by mouth twice daily,55
30 mg by mouth as needed,55
325 mg (65 mg iron) tablet 1 tablet by mouth twice a day,55
1 suppository into the rectum as directed every 6 hours for 3 days as needed for nausea,55
500 IU by mouth daily,55
twice a day orally ,55
(Also Known As Valtrex) 2 tablets by mouth twice a day as needed for cold sores,55
2mg  1 tab by mouth at bedtime,55
200mg 2 pills as needed,55
2 spray in each nostril daily for 6 months,55
5-10 milliliters by mouth every 6 hours for 10 days as needed for cough,55
"50,000 IU by mouth once per week",55
75 mcg one orally daily,55
1 tablet by mouth daily on an empty stomach,55
40mg once daily oral,55
2 puffs 4 times a day as needed,55
500 mg tablet 1 tab by mouth twice daily,55
HFA 90 mcg/actuation aerosol inhaler 2 puffs from the inhaler every 6 hours as needed for shortness of breath,55
20 mg by mouth three times a day,55
100mg 1 tab by mouth nightly,55
1 gummy po daily,55
500mg 1 tablet as needed,55
15 mg 1 by mouth daily,55
2000 international unit 1 tablet by mouth daily,55
40mg take 1 tablet by mouth TWICE daily,55
eye drops daily as needed,55
(Also Known As Bactrim DS) 1 tablet by mouth twice a day for 14 day(s),55
6 milliliters (120 mg) by mouth every 6 hours for 5 day(s) as needed for fever = 100.5F or greater,55
10 mg orally every 24 hours,55
apply twice a day to affected area for skin infection.,55
100mg take one tablet by mouth once daily,55
Waist high compression stockings 30-40mmHg,55
2 puffs from the inhaler twice a day for 30 days,55
5mg tab by mouth twice daily,55
0.5mg  1 tab by mouth twice daily,55
0.3 milligrams intramuscularly at the first sign of symptoms as needed for anaphylaxis,55
"10,000IU by mouth daily",55
ER 120 mg by mouth daily,55
75 mg 1 tablet by mouth twice a day,55
40 mg po nightly,55
Use prn for severe low blood sugar. Needs one kit for home and one for school,55
200 mg one tab daily,55
mg 1 tablet by mouth daily,55
500 mg tablet take one tablet by mouth daily,55
120mg oral daily,55
0.5mg tablet by mouth daily,55
2 sprays per nostril,55
1 capful by mouth twice a day as needed for constipation,55
50mg 1 tab as needed,55
 10 mg one po daily,55
40mg Take 1 tab by mouth daily,55
0.4mg 1 tab orally daily,55
1 tablet by mouth every evening at bedtime as needed for nausea,55
3 milliliters using a nebulizer every 6 hours for 5 days as needed for wheezing,55
50mg 1 capsule by mouth daily,55
2 milliliters from the inhaler twice a day,55
1 tablet by mouth before each meal as needed,55
1 teaspoon daily as needed,55
0.4mg 1 tab daily by mouth,55
 nasal spray as needed,55
(Also Known As Nuvigil) 1 tablet by mouth every morning,55
120mg 1 tablet by mouth twice a day,55
(Also Known As Naprosyn) 1 tablet by mouth twice a day for 14 day(s) as needed for pain,55
25 mg by mouth every 4-6 hours as needed,55
1 pill by mouth once daily,55
10 milliliters (25 mg) by mouth every 6 hours for 3 days as needed for itching,55
40 mg capsule (Also Known As Prozac) 1 capsule by mouth daily,55
10 mg  once daily,55
50mcg tab by mouth daily,55
37.5 mg daily by mouth,55
1200 mg one tablet by mouth twice daily,55
(Also Known As Lamisil) 1 tablet by mouth daily for 84 day(s),55
(Also Known As Zofran) 2.5 milliliters (2 mg) by mouth every 8 hours for 3 days as needed for nausea,55
apply to the affected face once daily,55
(Also Known As Plavix) 1 tablet by mouth daily for 14 days,55
(Also Known As Depakote) 1 tablet by mouth twice a day for 30 day(s),55
650mg 2 tablets by mouth as needed,55
10 mg tab PO daily,55
"400 mg orally once daily, in the morning",55
2 liters as needed,55
4 mg three times a day,55
50mg by mouth every 6 hours as needed for pain,55
5mg once at night,55
otc 1 tab orally daily,55
500 mg take one by mouth twice a day,55
100mg 1/2 tablet by mouth twice daily,55
25 mcg once daily by mouth,55
"25mg, One tablet by mouth once daily",55
(Also Known As Trusopt) 1 drop in the left eye three times a day for 90 days,55
(Also Known As Estrace) 1 tablet by mouth daily for 14 days,55
? mg take 1 tab by mouth daily,55
0.3 milliliters intramuscularly one time only as needed for severe allergic reaction,55
3.125 mg one tablet by mouth twice per day,55
2.5mg tablet daily,55
20/25mg daily by mouth,55
875 MG orally every 12 hours,55
2 puffs from the inhaler every four or six hours for 30 day(s) as needed,55
(Also Known As Vitamin D2) 1 capsule by mouth every week for 16 weeks,55
2 tablets by mouth every evening at bedtime for 90 day(s),55
110mcg 2 puffs twice daily,55
"50,000u 1 tab by mouth weekly",55
(Also Known As Bactrim DS) 1 tablet by mouth every 12 hours for 10 day(s),55
25mg tablet orally twice daily,55
50mg tablet one tablet by mouth every day,55
75mcg take 1 tablet by mouth daily,55
instill one drop in each eye at bedtime,55
Vitamins 1 tablet by mouth daily,55
30 mg every morning,55
4 mg by mouth every night,55
50 MG orally every 12 hours as needed,55
1 gram by mouth four times daily,55
25mg at bedtime as needed,55
(Maxzide) 1 tablet by mouth daily,55
  daily by mouth ,55
(Also Known As Flagyl) 1 tablet by mouth every 8 hours for 12 days,55
1 tab 2 times daily,55
250/50 once daily,55
(Also Known As Roxicodone) 1-2 tablets by mouth every 6 hours for 14 days as needed for pain,55
Take 120 mg by mouth daily.,55
1 tablet by mouth q4-6h prn for 5 days as needed for pain,55
(Also Known As Neptazane) 1 tablet by mouth three times a day for 90 days,55
5 mg one tablet by mouth every evening at bedtime,55
(Also Known As Ultram) 1 tablet by mouth four times a day as needed,55
(Also Known As Concerta) 2 tablets by mouth every morning,55
(Also Known As Naprosyn) 1 tablet by mouth every 8 hours for 7 days as needed for pain,55
(Also Known As Tussionex Pennkinetic ER) 5 milliliters by mouth every 12 hours for 14 days,55
1 LOZ orally as needed for sore throat,55
81 mg one tablet by mouth twice daily,55
(Also Known As Sarafem) 1 tablet by mouth every evening at bedtime,55
75mg 1 tablet daily by mouth,55
75 mcg 1 tablet daily,55
75mg take one by mouth daily,55
10 mg one orally three times daily,55
10mg by mouth  once daily,55
200mg One tablet by mouth twice a day,55
10mg 1 tablet by mouth daily as needed for allergies,55
50 mcg two sprays in each nostril daily,55
10mg every 8 hours,55
oral powder 17 gm orally every 24 hours at 10:00,55
1.25 mg by mouth once daily,55
500 mg 2 by mouth twice a day,55
50mg p.o. twice daily,55
(Also Known As Klor-Con M20) 1 tablet by mouth daily for 14 days,55
10 ml swish and swallow as needed,55
25 mg orally twice a day,55
1 capsule by mouth twice a day for 6 weeks,55
Take one tablet twice a day while on Temodar and then as needed.,55
30mg daily orally,55
20 mg Daily in AM,55
Take 1 tablet (5 mg total) by mouth daily.,55
50 MCG daily for until discontinued,55
"60 mg capsule,delayed release 1 capsule by mouth daily",55
1000mcg twice daily ,55
(Also Known As Polytrim) 1 drop in eyes as directed four times a day for 7 day(s),55
"(Also Known As Duragesic) 1 patch on dry, cleaned skin every three days for 30 day(s)",55
week 1: 50mg nightly week 2: 100mg nightly week 3: 150 mg nightly week 4: 200mg nightly. Take this 12 hours before you wake up in the morning.,55
10 mg one by mouth in the evening,55
40mg 1 tablet once a day,55
2 mg 1 tablet twice daily,55
40 mg 1 tablet by mouth every evening at bedtime,55
200 mg as needed by mouth,55
(Also Known As Zofran (as hydrochloride)) 1 tablet by mouth every 6 hours for 10 days as needed for nausea,55
325mg 1/2 tablet by mouth daily,55
30mg by mouth daily as needed,55
(Also Known As Robaxin-750) 1 tablet by mouth every evening at bedtime,55
2000mcg po daily,55
1 gm four times daily,55
"20 mg Cap, Delayed Release (Also Known As Prilosec) 1 capsule by mouth daily as needed",55
1000 mg capsule by mouth daily,55
1 pill twice daily,55
1-2 tablets by mouth every 8 hours for 20 days as needed for pain,55
(Also Known As Lomotil) 1 tablet by mouth three times a day as needed for diarrhea,55
 TOPICAL every 24 hours at 10:00,55
50 mcg/actuation Nasal Spray 1 spray in each nostril daily as needed,55
10mg 1 po four times daily ,55
2 tabs by mouth as needed for pain,55
2 sprays intranasal daily,55
2 a day by mouth,55
50 mg tablet by mouth at bedtime,55
(Also Known As Zofran ODT) 1 tablet by mouth three times a day for 14 days as needed for nausea,55
200 mg capsule 1 capsule by mouth daily ,55
15mg. tablet one tablet by mouth once daily,55
0.5 milliliter by mouth twice a day,55
?mg take 1 tablet by mouth daily,55
(Also Known As Ilotycin) 1 centimeters in eyes as directed four times a day for 7 day(s),55
800mg by mouth twice daily as needed,55
capsule one capsule by mouth daily ,55
180 mg Tab 1 tablet by mouth daily ,55
20mg tablet at bedtime,55
10 mg tablet (Also Known As Ambien) 1 tablet by mouth every evening at bedtime as needed,55
30mg 1tab once daily,55
50/25mg by mouth daily,55
supplement daily by mouth ,55
5 milliliters by mouth twice a day for ten days,55
(Flonase) 1 spray in the nose twice a day,55
325 mg every other day,55
"5 mg, once daily",55
(Also Known As Topamax) 1.5 tablets by mouth every evening at bedtime,55
200mg 1-2 tabs po prn,55
1000mcg one tablet daily,55
(Also Known As Amaryl) 1 tablet by mouth with dinner,55
180 mg one daily,55
5 milliliters by mouth every 8 hours,55
(Also Known As Trandate) 1 tablet by mouth every 8 hours,55
7.5 mg by mouth as needed for pain,55
.25 mg as needed,55
10 mg take by mouth once daily,55
100mg 2 by mouth daily,55
600 mg orally every 8 hours as needed for pain,55
180 mg one orally daily,55
(Also Known As Sinemet) 2 tablets by mouth every 3 hours,55
1 drop each eye daily as needed,55
